"datasetid","doi"
14404,"10.1007/s00334-012-0369-8"
14404,"10.4236/ajps.2013.47A1001"
14405,"10.1007/s00334-012-0369-8"
14405,"10.4236/ajps.2013.47A1001"
14409,"10.1016/j.quascirev.2014.05.030"
14410,"10.1016/j.quascirev.2014.05.030"
14412,"10.1007/s00334-012-0369-8"
14412,"10.4236/ajps.2013.47A1001"
14413,"10.1007/s00334-012-0369-8"
14413,"10.4236/ajps.2013.47A1001"
14414,"10.1007/s00334-012-0369-8"
14414,"10.4236/ajps.2013.47A1001"
14415,"10.1007/s00334-012-0369-8"
14415,"10.4236/ajps.2013.47A1001"
14416,"10.1007/s00334-012-0369-8"
14416,"10.4236/ajps.2013.47A1001"
14417,"10.1007/s00334-012-0369-8"
14417,"10.4236/ajps.2013.47A1001"
14418,"10.1007/s00334-012-0369-8"
14418,"10.4236/ajps.2013.47A1001"
14419,"10.1007/s00334-012-0369-8"
14419,"10.4236/ajps.2013.47A1001"
14420,"10.1007/s00334-012-0369-8"
14420,"10.4236/ajps.2013.47A1001"
14426,"10.1016/0034-6667(77)90027-6"
14426,"10.1016/0167-8809(91)90040-5"
14427,"10.1016/0034-6667(77)90027-6"
14427,"10.1016/0167-8809(91)90040-5"
14428,"10.1016/0034-6667(77)90027-6"
14428,"10.1016/0167-8809(91)90040-5"
14429,"10.1016/0034-6667(77)90027-6"
14429,"10.1016/0167-8809(91)90040-5"
14430,"10.1016/0034-6667(77)90027-6"
14430,"10.1016/0167-8809(91)90040-5"
14431,"10.1016/0034-6667(77)90027-6"
14431,"10.1016/0167-8809(91)90040-5"
14432,"10.1016/0034-6667(77)90027-6"
14432,"10.1016/0167-8809(91)90040-5"
14433,"10.1016/0034-6667(77)90027-6"
14433,"10.1016/0167-8809(91)90040-5"
14434,"10.1016/0034-6667(77)90027-6"
14434,"10.1016/0167-8809(91)90040-5"
14442,"10.1016/j.quascirev.2014.05.030"
14443,"10.1016/j.quascirev.2014.05.030"
14446,"10.1007/s10980-007-9133-3"
14490,"10.1016/j.yqres.2004.02.011"
14491,"10.1016/j.yqres.2004.02.011"
14493,"10.1016/j.yqres.2004.02.011"
14494,"10.1016/j.yqres.2004.02.011"
14516,"10.1080/15230430.1999.12003321"
14517,"10.1080/15230430.1999.12003321"
14535,"10.1191/0959683604hl745rp"
14537,"10.1191/0959683604hl745rp"
14539,"10.1191/0959683604hl745rp"
14547,"10.1080/15230430.1999.12003321"
14549,"10.1080/15230430.1999.12003321"
14564,"10.1177/095968369600600111"
14592,"10.1016/j.yqres.2011.01.008"
14594,"10.1016/j.yqres.2011.01.008"
14596,"10.1016/j.yqres.2011.01.008"
14598,"10.1016/j.yqres.2011.01.008"
14600,"10.1016/j.yqres.2011.01.008"
14602,"10.1016/j.yqres.2011.01.008"
14604,"10.1016/j.yqres.2011.01.008"
14606,"10.1016/j.yqres.2011.01.008"
14610,"10.1016/0033-5894(81)90128-9"
14612,"10.1016/j.revpalbo.2006.12.002"
14618,"10.1016/j.quascirev.2011.02.006"
14619,"10.1016/j.quascirev.2011.02.006"
14621,"10.1371/journal.pone.0111328"
14622,"10.1371/journal.pone.0111328"
14624,"10.1046/j.1365-2745.2001.00656.x"
14626,"10.1191/0959683604hl745rp"
14628,"10.1371/journal.pone.0111328"
14629,"10.1371/journal.pone.0111328"
14629,"10.1073/pnas.1011801107"
14631,"10.1191/0959683604hl745rp"
14633,"10.1191/0959683604hl745rp"
14635,"10.1191/0959683604hl745rp"
14637,"10.1191/0959683604hl745rp"
14639,"10.1191/0959683604hl745rp"
14641,"10.1191/0959683604hl745rp"
14643,"10.1191/0959683604hl745rp"
14645,"10.1191/0959683604hl745rp"
14647,"10.1016/j.palaeo.2010.05.020"
14647,"10.1016/j.revpalbo.2011.05.003"
14648,"10.1016/j.palaeo.2010.05.020"
14648,"10.1007/s11434-010-3226-0"
14648,"10.1016/j.revpalbo.2011.05.003"
14651,"10.1029/2011JG001821"
14673,"10.1046/j.1365-2745.2001.00656.x"
14674,"10.1046/j.1365-2745.2001.00656.x"
14675,"10.1046/j.1365-2745.2001.00656.x"
14676,"10.1046/j.1365-2745.2001.00656.x"
14678,"10.1046/j.1365-2745.2001.00656.x"
14680,"10.1046/j.1365-2745.2001.00656.x"
14681,"10.1046/j.1365-2745.2001.00656.x"
14682,"10.1046/j.1365-2745.2001.00656.x"
14683,"10.1046/j.1365-2745.2001.00656.x"
14684,"10.1046/j.1365-2745.2001.00656.x"
14800,"10.2307/2937377"
14801,"10.2307/2937377"
14802,"10.1016/j.yqres.2003.07.009"
14803,"10.1016/j.yqres.2003.07.009"
14838,"10.1016/j.quascirev.2008.01.005"
14839,"10.1016/j.quascirev.2008.01.005"
14839,"10.1111/j.1365-2699.2007.01785.x"
14883,"10.1016/j.foreco.2007.10.008"
14884,"10.1016/j.foreco.2007.10.008"
14887,"10.1016/j.quascirev.2014.05.030"
14888,"10.1016/j.quascirev.2014.05.030"
14889,"10.1016/j.quascirev.2014.05.030"
14890,"10.1029/2001JD000332"
14891,"10.1029/2001JD000332"
14895,"10.22459/TA31.12.2009.04"
14896,"10.22459/TA31.12.2009.04"
14897,"10.22459/TA31.12.2009.04"
14908,"10.1139/e74-083"
14909,"10.1139/e74-083"
14910,"10.1016/j.foreco.2007.10.008"
14911,"10.1016/j.foreco.2007.10.008"
14941,"10.1016/S0031-0182(01)00248-6"
14942,"10.1016/S0031-0182(99)00070-X"
14943,"10.1016/S0031-0182(99)00070-X"
14944,"10.1016/S0031-0182(99)00070-X"
14949,"10.1016/S0031-0182(99)00070-X"
14950,"10.1016/S0031-0182(99)00070-X"
14951,"10.1016/S0031-0182(99)00070-X"
14958,"10.1016/0033-5894(79)90078-4"
14959,"10.1016/0033-5894(79)90078-4"
14960,"10.1016/0033-5894(79)90078-4"
14961,"10.1016/0033-5894(79)90078-4"
14967,"10.1111/j.1442-9993.1994.tb00478.x"
14968,"10.1111/j.1442-9993.1994.tb00478.x"
14969,"10.1111/j.1442-9993.1994.tb00478.x"
14970,"10.1016/S1040-6182(98)00071-8"
14971,"10.1016/S1040-6182(98)00071-8"
14972,"10.1016/S1040-6182(98)00071-8"
14987,"10.1016/S1040-6182(98)00071-8"
14988,"10.1016/S1040-6182(98)00071-8"
14989,"10.1016/S1040-6182(98)00071-8"
14992,"10.1006/qres.1996.0022"
14993,"10.1006/qres.1996.0022"
14996,"10.1046/j.1365-2699.2002.00758.x"
14997,"10.1046/j.1365-2699.2002.00758.x"
14998,"10.1046/j.1365-2699.2002.00758.x"
14999,"10.1046/j.1365-2699.2002.00758.x"
15002,"10.1046/j.1365-2699.2002.00758.x"
15003,"10.1046/j.1365-2699.2002.00758.x"
15006,"10.1046/j.1365-2699.2002.00758.x"
15007,"10.1046/j.1365-2699.2002.00758.x"
15008,"10.1046/j.1365-2699.2002.00758.x"
15009,"10.1046/j.1365-2699.2002.00758.x"
15010,"10.1016/S0031-0182(97)00140-5"
15011,"10.1016/S0031-0182(97)00140-5"
15012,"10.1016/S0031-0182(97)00140-5"
15013,"10.1016/S0031-0182(97)00140-5"
15014,"10.1016/S0031-0182(97)00140-5"
15015,"10.1016/S0031-0182(97)00140-5"
15016,"10.1016/S0031-0182(97)00140-5"
15017,"10.1016/S0031-0182(97)00140-5"
15018,"10.1016/S0031-0182(97)00140-5"
15021,"10.1046/j.1365-2699.2002.00758.x"
15022,"10.1046/j.1365-2699.2002.00758.x"
15023,"10.1016/j.quaint.2009.07.031"
15023,"10.1016/j.quaint.2006.08.001"
15024,"10.1016/j.quaint.2006.08.001"
15028,"10.1016/j.quaint.2005.03.007"
15029,"10.1016/j.quaint.2005.03.007"
15043,"10.1126/science.204.4394.701"
15045,"10.1126/science.204.4394.701"
15046,"10.1126/science.204.4394.701"
15047,"10.1126/science.204.4394.701"
15048,"10.1126/science.204.4394.701"
15049,"10.1016/j.quaint.2005.03.007"
15050,"10.1016/j.quaint.2005.03.007"
15060,"10.1177/0959683611427330"
15061,"10.1177/0959683611427330"
15061,"10.1016/j.quascirev.2014.04.014"
15061,"10.1073/pnas.1410443111"
15079,"10.1016/j.yqres.2012.12.005"
15080,"10.1016/j.yqres.2012.12.005"
15081,"10.1016/j.yqres.2012.12.005"
15086,"10.1016/j.yqres.2012.12.005"
15087,"10.1016/j.yqres.2012.12.005"
15088,"10.1016/j.yqres.2012.12.005"
15100,"10.1177/0959683611427330"
15100,"10.1016/j.yqres.2006.04.004"
15101,"10.1177/0959683611427330"
15101,"10.1016/j.quascirev.2014.04.014"
15101,"10.1073/pnas.1410443111"
15101,"10.1016/j.yqres.2006.04.004"
15102,"10.1016/j.yqres.2012.07.004"
15103,"10.1016/j.quascirev.2014.04.014"
15103,"10.1073/pnas.1410443111"
15103,"10.1016/j.yqres.2012.07.004"
15104,"10.1016/0033-5894(84)90088-7"
15104,"10.1080/00040851.1991.12002842"
15104,"10.1016/0033-5894(91)90005-P"
15105,"10.1016/0033-5894(84)90088-7"
15105,"10.1080/00040851.1991.12002842"
15106,"10.1016/0033-5894(84)90088-7"
15106,"10.1080/00040851.1991.12002842"
15107,"10.1016/0033-5894(91)90005-P"
15108,"10.1016/0033-5894(91)90005-P"
15109,"10.1016/0033-5894(91)90005-P"
15110,"10.1016/0033-5894(84)90088-7"
15110,"10.1080/00040851.1991.12002842"
15111,"10.1016/0033-5894(84)90088-7"
15111,"10.1080/00040851.1991.12002842"
15114,"10.1016/j.yqres.2012.07.004"
15115,"10.1016/j.quascirev.2014.04.014"
15115,"10.1073/pnas.1410443111"
15115,"10.1016/j.yqres.2012.07.004"
15129,"10.1016/j.quascirev.2014.04.014"
15130,"10.1016/j.quascirev.2014.04.014"
15130,"10.1073/pnas.1410443111"
15131,"10.1016/j.yqres.2006.04.004"
15132,"10.1016/j.quascirev.2014.04.014"
15132,"10.1073/pnas.1410443111"
15132,"10.1016/j.yqres.2006.04.004"
15135,"10.1007/BF00177042"
15136,"10.1007/BF00177042"
15137,"10.1177/0959683609336569"
15138,"10.1177/0959683609336569"
15139,"10.1177/0959683609336569"
15140,"10.1177/0959683609336569"
15141,"10.1006/qres.1999.2120"
15142,"10.1006/qres.1999.2120"
15145,"10.1006/qres.1999.2120"
15146,"10.1006/qres.1999.2120"
15147,"10.1006/qres.1999.2120"
15148,"10.1006/qres.1999.2120"
15149,"10.1007/s10933-006-9079-5"
15150,"10.1007/s10933-006-9079-5"
15151,"10.1007/s10933-006-9079-5"
15152,"10.1007/s10933-006-9079-5"
15153,"10.1007/s10933-006-9079-5"
15179,"10.7202/032829ar"
15180,"10.7202/032829ar"
15219,"10.1016/0033-5894(76)90053-3"
15226,"10.1016/j.quaint.2009.10.041"
15227,"10.1016/j.quaint.2009.10.041"
15228,"10.1016/0033-5894(76)90053-3"
15233,"10.1016/j.yqres.2003.10.005"
15234,"10.1016/j.yqres.2003.10.005"
15235,"10.1139/e93-210"
15236,"10.1139/e93-210"
15237,"10.1016/j.quaint.2009.11.010"
15238,"10.1016/j.quaint.2009.11.010"
15239,"10.1016/j.quaint.2009.11.010"
15240,"10.1016/j.quaint.2009.11.010"
15246,"10.1016/j.yqres.2008.06.006"
15247,"10.1016/j.yqres.2008.06.006"
15247,"10.1111/j.1365-2699.2010.02318.x"
15249,"10.1890/11-1545.1"
15249,"10.1016/j.quascirev.2008.02.015"
15250,"10.1890/11-1545.1"
15257,"10.1006/qres.2000.2206"
15258,"10.1016/0277-3791(93)90043-L"
15258,"10.1016/j.quascirev.2003.11.002"
15259,"10.1111/j.1502-3885.1991.tb00459.x"
15259,"10.1016/0031-0182(93)90005-4"
15259,"10.1016/0277-3791(93)90043-L"
15259,"10.1006/qres.2000.2206"
15297,"10.1080/00040851.1980.12004190"
15297,"10.1016/0033-5894(86)90042-6"
15297,"10.3133/ofr80725"
15298,"10.1080/00040851.1980.12004190"
15303,"10.1016/j.palaeo.2010.08.013"
15304,"10.1016/j.palaeo.2010.08.013"
15305,"10.1016/j.quascirev.2003.11.002"
15305,"10.1016/j.palaeo.2010.08.013"
15305,"10.1007/0-387-21710-X_13"
15306,"10.1016/j.quascirev.2003.11.002"
15306,"10.1016/j.palaeo.2010.08.013"
15306,"10.1007/0-387-21710-X_13"
15326,"10.1016/j.yqres.2007.01.010"
15327,"10.1016/j.yqres.2007.01.010"
15329,"10.1016/j.palaeo.2007.07.008"
15331,"10.1016/j.palaeo.2007.07.008"
15345,"10.1016/j.yqres.2004.02.006"
15346,"10.1016/j.yqres.2004.02.006"
15347,"10.1016/j.yqres.2004.02.006"
15348,"10.1016/j.yqres.2004.02.006"
15360,"10.1016/j.quaint.2009.11.010"
15361,"10.1016/j.quaint.2009.11.010"
15364,"10.1002/jqs.983"
15365,"10.1002/jqs.983"
15366,"10.1002/jqs.983"
15367,"10.1016/j.quascirev.2008.09.027"
15368,"10.1016/j.quascirev.2008.09.027"
15401,"10.1038/2272"
15401,"10.1130/0091-7613(1997)025<0207:CEOGLA>2.3.CO;2"
15402,"10.1038/2272"
15402,"10.1130/0091-7613(1997)025<0207:CEOGLA>2.3.CO;2"
15403,"10.1038/2272"
15403,"10.1130/0091-7613(1997)025<0207:CEOGLA>2.3.CO;2"
15404,"10.1191/0959683604hl762rp"
15405,"10.1191/0959683604hl762rp"
15406,"10.1191/0959683604hl762rp"
15439,"10.1016/0033-5894(80)90017-4"
15440,"10.1016/0033-5894(80)90017-4"
15441,"10.1016/0033-5894(80)90017-4"
15441,"10.1126/science.204.4394.701"
15442,"10.1016/0033-5894(80)90017-4"
15443,"10.1016/0033-5894(80)90017-4"
15444,"10.1016/0033-5894(80)90017-4"
15444,"10.1126/science.204.4394.701"
15445,"10.1016/0033-5894(80)90017-4"
15446,"10.1016/0033-5894(80)90017-4"
15447,"10.1016/0033-5894(80)90017-4"
15447,"10.1126/science.204.4394.701"
15479,"10.1016/j.yqres.2010.08.007"
15486,"10.2747/0272-3646.30.3.205"
15487,"10.2747/0272-3646.30.3.205"
15488,"10.1016/j.yqres.2010.08.007"
15489,"10.1016/j.yqres.2010.08.007"
15489,"10.1007/s10980-007-9133-3"
15491,"10.2747/0272-3646.30.3.205"
15492,"10.2747/0272-3646.30.3.205"
15510,"10.2747/0272-3646.30.3.205"
15511,"10.2747/0272-3646.30.3.205"
15515,"10.1016/0033-5894(80)90017-4"
15516,"10.1016/0033-5894(80)90017-4"
15517,"10.1016/0033-5894(80)90017-4"
15518,"10.1016/0033-5894(80)90017-4"
15519,"10.1016/0033-5894(80)90017-4"
15520,"10.1016/0033-5894(80)90017-4"
15521,"10.1016/0033-5894(80)90017-4"
15522,"10.1016/0033-5894(80)90017-4"
15523,"10.1016/0033-5894(80)90017-4"
15536,"10.1016/1040-6182(94)90010-8"
15569,"10.1016/0033-5894(80)90017-4"
15569,"10.1126/science.204.4394.701"
15570,"10.1016/0033-5894(80)90017-4"
15570,"10.1126/science.204.4394.701"
15571,"10.1016/0033-5894(80)90017-4"
15571,"10.1126/science.204.4394.701"
15572,"10.1016/0033-5894(80)90017-4"
15573,"10.1016/0033-5894(80)90017-4"
15573,"10.1126/science.204.4394.701"
15574,"10.1016/0033-5894(80)90017-4"
15574,"10.1126/science.204.4394.701"
15575,"10.1016/0033-5894(80)90017-4"
15576,"10.1016/0033-5894(80)90017-4"
15576,"10.1126/science.204.4394.701"
15577,"10.1016/0033-5894(80)90017-4"
15577,"10.1126/science.204.4394.701"
15599,"10.1029/2001JD000332"
15600,"10.1029/2001JD000332"
15627,"10.1029/2001JD000332"
15676,"10.1016/0034-6667(86)90022-9"
15677,"10.1016/0034-6667(86)90022-9"
15678,"10.1016/0034-6667(86)90022-9"
15682,"10.2307/2845547"
15688,"10.1007/BF02348600"
15691,"10.1111/jbi.14041"
15691,"10.1007/s10933-006-9061-2"
15691,"10.1007/s10750-009-9855-0"
15692,"10.1111/jbi.14041"
15692,"10.1007/s10933-006-9061-2"
15692,"10.1007/s10750-009-9855-0"
15699,"10.1017/S0033822200000710"
15705,"10.5190/tga1948.37.166"
15706,"10.5190/tga1948.37.166"
15708,"10.5190/tga1948.38.24"
15709,"10.5190/tga1948.38.24"
15710,"10.1130/SPE251-p57"
15711,"10.1130/SPE251-p57"
15723,"10.1029/2001JD000332"
15724,"10.1029/2001JD000332"
15740,"10.1046/j.1523-1739.2000.99219.x"
15749,"10.1130/0091-7613(1993)021<0793:LSROLH>2.3.CO;2"
15750,"10.1130/0091-7613(1993)021<0793:LSROLH>2.3.CO;2"
15753,"10.7202/032831ar"
15754,"10.1016/0033-5894(87)90040-8"
15754,"10.7202/032831ar"
15777,"10.1006/qres.1999.2063"
15778,"10.1006/qres.1999.2063"
15826,"10.1029/2001JD000332"
15827,"10.1029/2001JD000332"
15883,"10.1016/j.yqres.2009.05.001"
15884,"10.1016/j.yqres.2009.05.001"
15885,"10.1016/j.yqres.2009.05.001"
15886,"10.1016/j.quascirev.2009.09.005"
15886,"10.1016/j.yqres.2009.05.001"
15887,"10.4319/lo.2010.55.6.2403"
15890,"10.1016/j.yqres.2006.08.006"
15891,"10.1016/j.yqres.2006.08.006"
15892,"10.1016/j.yqres.2006.08.006"
15918,"10.2307/2426755"
15919,"10.2307/2426755"
15930,"10.1007/s100219900007"
15930,"10.1046/j.1365-2699.2002.00758.x"
15931,"10.1007/s100219900007"
15931,"10.1046/j.1365-2699.2002.00758.x"
15932,"10.1007/s100219900007"
15932,"10.1046/j.1365-2699.2002.00758.x"
15933,"10.1007/s100219900007"
15933,"10.1046/j.1365-2699.2002.00758.x"
15934,"10.1007/s100219900007"
15935,"10.1007/s100219900007"
15936,"10.1016/j.yqres.2015.03.005"
15937,"10.1016/j.yqres.2015.03.005"
15938,"10.1016/j.yqres.2015.03.005"
15939,"10.1016/j.yqres.2015.03.005"
15940,"10.1016/j.yqres.2015.03.005"
15941,"10.1007/s100219900007"
15942,"10.1007/s100219900007"
15943,"10.1007/s100219900007"
15944,"10.1007/s100219900007"
15953,"10.1006/qres.2002.2324"
15954,"10.1016/S0031-0182(03)00272-4"
15955,"10.1016/S0031-0182(03)00272-4"
15956,"10.1191/0959683603hl667ft"
15956,"10.1139/B03-016"
15957,"10.1191/0959683603hl667ft"
15957,"10.1177/0959683614538073"
15957,"10.1139/B03-016"
16008,"10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2"
16009,"10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2"
16010,"10.1016/j.quascirev.2011.06.010"
16011,"10.1016/j.quascirev.2011.06.010"
16047,"10.1016/S0033-5894(03)00091-7"
16048,"10.1016/S0033-5894(03)00091-7"
16049,"10.1016/j.palaeo.2005.04.005"
16050,"10.1016/j.palaeo.2005.04.005"
16094,"10.1016/S0033-5894(03)00083-8"
16094,"10.1130/0091-7613(1989)017<0357:LPTDOT>2.3.CO;2"
16095,"10.1016/S0033-5894(03)00083-8"
16095,"10.1130/0091-7613(1989)017<0357:LPTDOT>2.3.CO;2"
16096,"10.1016/S0033-5894(03)00083-8"
16096,"10.1130/0091-7613(1989)017<0357:LPTDOT>2.3.CO;2"
16100,"10.1016/S0033-5894(03)00083-8"
16101,"10.1016/S0033-5894(03)00083-8"
16110,"10.2307/1943006"
16111,"10.2307/1943006"
16112,"10.2307/1943006"
16113,"10.2307/1943006"
16128,"10.1016/0033-5894(92)90074-S"
16129,"10.1016/0033-5894(92)90074-S"
16134,"10.1016/j.palaeo.2004.09.010"
16135,"10.1016/j.palaeo.2004.09.010"
16136,"10.1016/j.palaeo.2004.09.010"
16137,"10.1016/j.palaeo.2004.09.010"
16138,"10.1016/j.palaeo.2004.09.010"
16139,"10.1016/j.palaeo.2004.09.010"
16140,"10.1016/j.palaeo.2004.09.010"
16141,"10.1016/j.palaeo.2004.09.010"
16142,"10.1016/j.palaeo.2004.09.010"
16143,"10.1016/j.palaeo.2004.09.010"
16144,"10.1016/j.palaeo.2004.09.010"
16145,"10.1016/j.palaeo.2004.09.010"
16146,"10.1016/j.palaeo.2004.09.010"
16147,"10.1016/j.palaeo.2004.09.010"
16148,"10.1016/j.palaeo.2004.09.010"
16149,"10.1016/j.palaeo.2004.09.010"
16150,"10.1016/j.palaeo.2004.09.010"
16151,"10.1016/j.palaeo.2004.09.010"
16152,"10.1016/j.palaeo.2004.09.010"
16153,"10.1016/j.palaeo.2004.09.010"
16154,"10.1016/j.palaeo.2004.09.010"
16155,"10.1016/j.palaeo.2004.09.010"
16158,"10.1016/j.palaeo.2004.09.010"
16159,"10.1016/j.palaeo.2004.09.010"
16160,"10.1016/j.palaeo.2004.09.010"
16161,"10.1016/j.palaeo.2004.09.010"
16162,"10.1016/j.palaeo.2004.09.010"
16163,"10.1016/j.palaeo.2004.09.010"
16164,"10.1016/j.palaeo.2004.09.010"
16165,"10.1016/j.palaeo.2004.09.010"
16166,"10.1016/j.palaeo.2004.09.010"
16167,"10.1016/j.palaeo.2004.09.010"
16168,"10.1016/j.palaeo.2004.09.010"
16169,"10.1016/j.palaeo.2004.09.010"
16170,"10.1016/j.palaeo.2004.09.010"
16171,"10.1016/j.palaeo.2004.09.010"
16172,"10.1006/qres.2002.2388"
16173,"10.1006/qres.2002.2388"
16182,"10.1016/j.yqres.2004.02.011"
16183,"10.1016/j.yqres.2004.02.011"
16184,"10.1016/j.yqres.2004.02.011"
16185,"10.1016/j.yqres.2004.02.011"
16185,"10.2112/08A-0005"
16186,"10.1016/j.yqres.2004.02.011"
16186,"10.2112/08A-0005"
16220,"10.1130/0091-7613(2000)28<51:RROATV>2.0.CO;2"
16221,"10.1130/0091-7613(2000)28<51:RROATV>2.0.CO;2"
16222,"10.1130/0091-7613(2000)28<51:RROATV>2.0.CO;2"
16223,"10.1130/0091-7613(2000)28<51:RROATV>2.0.CO;2"
16224,"10.1130/0091-7613(2000)28<51:RROATV>2.0.CO;2"
16260,"10.1002/gea.10020"
16261,"10.1002/gea.10020"
17299,"10.2307/2425288"
17300,"10.2307/2425288"
17303,"10.1191/0959683603hl608rp"
17304,"10.2307/2845547"
17304,"10.1191/0959683603hl608rp"
17329,"10.1177/0959683609337357"
17330,"10.1177/0959683609337357"
17331,"10.1177/0959683609337357"
17332,"10.1177/0959683609337357"
17348,"10.1177/0959683609337357"
17349,"10.1177/0959683609337357"
17364,"10.1006/qres.2002.2324"
17364,"10.1126/science.283.5401.516"
17365,"10.1016/S0031-0182(03)00272-4"
17366,"10.1016/S0031-0182(03)00272-4"
17367,"10.1080/01916122.1983.9989252"
17368,"10.1080/01916122.1983.9989252"
17369,"10.1016/j.palaeo.2010.08.013"
17370,"10.1016/j.palaeo.2010.08.013"
17371,"10.1016/0031-0182(93)90005-4"
17371,"10.1016/j.palaeo.2010.08.013"
17387,"10.2307/2845547"
17387,"10.1191/0959683603hl608rp"
17396,"10.1023/A:1025574100319"
17404,"10.2307/2845547"
17404,"10.1191/0959683603hl608rp"
17406,"10.2307/2845547"
17406,"10.1191/0959683603hl608rp"
17406,"10.2307/1940810"
17416,"10.1073/pnas.0505015102"
17417,"10.1073/pnas.0505015102"
17418,"10.1016/j.yqres.2011.08.006"
17419,"10.1016/j.yqres.2011.08.006"
17628,"10.1111/j.1365-2427.1983.tb00656.x"
17629,"10.1111/j.1365-2427.1983.tb00656.x"
17630,"10.1111/j.1365-2427.1983.tb00656.x"
17631,"10.1111/j.1365-2427.1983.tb00656.x"
17632,"10.1111/j.1365-2427.1983.tb00656.x"
17633,"10.1111/j.1365-2427.1983.tb00656.x"
17634,"10.1111/j.1365-2427.1983.tb00656.x"
17635,"10.1111/j.1365-2427.1983.tb00656.x"
17636,"10.1111/j.1365-2427.1983.tb00656.x"
17637,"10.1111/j.1365-2427.1983.tb00656.x"
17638,"10.1111/j.1365-2427.1983.tb00656.x"
17639,"10.1111/j.1365-2427.1983.tb00656.x"
17640,"10.1111/j.1365-2427.1983.tb00656.x"
17641,"10.1111/j.1365-2427.1983.tb00656.x"
17646,"10.1111/j.1365-2427.1983.tb00656.x"
17647,"10.1111/j.1365-2427.1983.tb00656.x"
17648,"10.1111/j.1365-2427.1983.tb00656.x"
17649,"10.1111/j.1365-2427.1983.tb00656.x"
17650,"10.1111/j.1365-2427.1983.tb00656.x"
17651,"10.1111/j.1365-2427.1983.tb00656.x"
17652,"10.1111/j.1365-2427.1983.tb00656.x"
17653,"10.1111/j.1365-2427.1983.tb00656.x"
17654,"10.1111/j.1365-2427.1983.tb00656.x"
17655,"10.1111/j.1365-2427.1983.tb00656.x"
17656,"10.1111/j.1365-2427.1983.tb00656.x"
17657,"10.1111/j.1365-2427.1983.tb00656.x"
17658,"10.1111/j.1365-2427.1983.tb00656.x"
17659,"10.1111/j.1365-2427.1983.tb00656.x"
17660,"10.1111/j.1365-2427.1983.tb00656.x"
17661,"10.1111/j.1365-2427.1983.tb00656.x"
17662,"10.1111/j.1365-2427.1983.tb00656.x"
17663,"10.1111/j.1365-2427.1983.tb00656.x"
17664,"10.1111/j.1365-2427.1983.tb00656.x"
17665,"10.1111/j.1365-2427.1983.tb00656.x"
17668,"10.7202/032477ar"
17673,"10.1111/j.1365-2427.1983.tb00656.x"
17674,"10.1111/j.1365-2427.1983.tb00656.x"
17676,"10.1111/j.1365-2427.1983.tb00656.x"
17678,"10.1111/j.1365-2427.1983.tb00656.x"
17679,"10.1111/j.1365-2427.1983.tb00656.x"
17681,"10.1111/j.1365-2427.1983.tb00656.x"
17683,"10.1111/j.1365-2427.1983.tb00656.x"
17684,"10.1111/j.1365-2427.1983.tb00656.x"
17685,"10.1111/j.1365-2427.1983.tb00656.x"
17686,"10.1111/j.1365-2427.1983.tb00656.x"
17687,"10.1111/j.1365-2427.1983.tb00656.x"
17690,"10.1111/j.1365-2427.1983.tb00656.x"
17691,"10.1111/j.1365-2427.1983.tb00656.x"
17692,"10.1111/j.1365-2427.1983.tb00656.x"
17693,"10.1111/j.1365-2427.1983.tb00656.x"
17695,"10.1111/j.1365-2427.1983.tb00656.x"
17697,"10.1111/j.1365-2427.1983.tb00656.x"
17698,"10.1111/j.1365-2427.1983.tb00656.x"
17699,"10.1111/j.1365-2427.1983.tb00656.x"
17700,"10.1111/j.1365-2427.1983.tb00656.x"
17701,"10.1111/j.1365-2427.1983.tb00656.x"
17704,"10.1111/j.1365-2427.1983.tb00656.x"
17705,"10.1111/j.1365-2427.1983.tb00656.x"
17706,"10.1111/j.1365-2427.1983.tb00656.x"
17716,"10.1016/j.quascirev.2011.12.008"
17717,"10.1016/j.quascirev.2011.12.008"
17722,"10.1016/S0277-3791(01)00042-7"
17723,"10.1016/S0277-3791(01)00041-5"
17738,"10.1007/s10750-007-0644-3"
17770,"10.1111/j.1365-2427.1983.tb00656.x"
17771,"10.1111/j.1365-2427.1983.tb00656.x"
17772,"10.1139/F07-078"
17814,"10.1007/s10750-007-0644-3"
17819,"10.1007/s10750-007-0644-3"
17845,"10.1016/S0277-3791(01)00042-7"
17846,"10.1016/S0277-3791(01)00042-7"
17849,"10.1023/A:1007948909342"
17850,"10.1023/A:1007948909342"
17851,"10.1023/A:1007948909342"
17864,"10.1139/F07-078"
17871,"10.1016/j.palaeo.2012.12.023"
17872,"10.1016/j.palaeo.2012.12.023"
17873,"10.1016/j.palaeo.2012.12.023"
17874,"10.1139/F07-078"
17875,"10.1139/F07-078"
17876,"10.1139/F07-078"
17877,"10.1139/F07-078"
17881,"10.1139/F07-078"
17882,"10.1139/F07-078"
17884,"10.1139/F07-078"
17885,"10.1139/F07-078"
17886,"10.1139/F07-078"
17887,"10.1139/F07-078"
17888,"10.1139/F07-078"
17889,"10.1139/F07-078"
17892,"10.1139/F07-078"
17893,"10.1139/F07-078"
17894,"10.1139/F07-078"
17895,"10.1139/F07-078"
17896,"10.1139/F07-078"
17897,"10.1139/F07-078"
17898,"10.1139/F07-078"
17899,"10.1139/F07-078"
